Date	Threshold
29-Apr-2025	26.5574341937228
30-Apr-2025	3.47758998329715
01-May-2025	7.71136058976882
02-May-2025	2.12440445372642
03-May-2025	4.38160241434774
04-May-2025	1.96837812800146
05-May-2025	3.4772251193369
06-May-2025	1.30941946409235
07-May-2025	5.16319312301215
08-May-2025	34.4263684299741
09-May-2025	30.5621511420358
10-May-2025	1.61052982030502
11-May-2025	2.06241445460909
12-May-2025	2.18154144206278
13-May-2025	2.92394594798914
14-May-2025	7.67165964106248
15-May-2025	0
16-May-2025	3.50573064287994
17-May-2025	10.8708716645556
18-May-2025	3.61706994780304
19-May-2025	5.34655816222879
20-May-2025	1.32883920618378
21-May-2025	4.20540758542725
22-May-2025	3.56668075805183
23-May-2025	3.26473979861099
24-May-2025	32.8443207711069
25-May-2025	19.107353330366
26-May-2025	3.2444466216698
27-May-2025	6.32468865953931
28-May-2025	8.93679788822034
29-May-2025	4.0919505948219
01-Jun-2025	3.93557519929612
02-Jun-2025	3.31598846273969
03-Jun-2025	6.68901833341589
04-Jun-2025	7.59450158744152
05-Jun-2025	4.25201495275401
06-Jun-2025	1.27578153227897
07-Jun-2025	27.000265564906
08-Jun-2025	143.823553221329
09-Jun-2025	4.53088449845014
10-Jun-2025	7.67842165342974
11-Jun-2025	12.9006580180499
12-Jun-2025	7.93298403094325
13-Jun-2025	8.02213815125292
14-Jun-2025	4.41147028057282
15-Jun-2025	13.2236810292776
16-Jun-2025	1.45506405711965
17-Jun-2025	10.255800321331
18-Jun-2025	7.71334442250832
19-Jun-2025	3.53857401536913
20-Jun-2025	3.46665397165994
21-Jun-2025	20.5799819862277
22-Jun-2025	24.111825073245
23-Jun-2025	5.25859190076423
24-Jun-2025	35.4457543284491
25-Jun-2025	7.11830464127932
26-Jun-2025	1.22409479310071
27-Jun-2025	6.31496443125296
28-Jun-2025	4.61313371572589
29-Jun-2025	42.2812061843246
30-Jun-2025	6.54949277607228
01-Jul-2025	4.414322324975
02-Jul-2025	34.4001014894647
03-Jul-2025	115.161300856591
04-Jul-2025	6.4410192231978
05-Jul-2025	11.8058539296013
06-Jul-2025	18.2521569595821
07-Jul-2025	6.37137691202943
08-Jul-2025	11.2467301082459
09-Jul-2025	4.87861394680662
10-Jul-2025	20.307952580747
11-Jul-2025	27.0249502333198
12-Jul-2025	11.083130353386
13-Jul-2025	2.1264552451535
14-Jul-2025	9.52710965917926
15-Jul-2025	7.85178010730657
16-Jul-2025	2.64021519293198
17-Jul-2025	39.177327753906
18-Jul-2025	70.4597956848511
19-Jul-2025	11.9308275113606
20-Jul-2025	3.61664522213749
21-Jul-2025	8.0312606740745
22-Jul-2025	1.72949974353847
23-Jul-2025	22.5296415548505
24-Jul-2025	1.90478128323919
25-Jul-2025	9.83901867297686
26-Jul-2025	67.4987857707303
28-Jul-2025	8.6682140039705
29-Jul-2025	0
30-Jul-2025	0
31-Jul-2025	0
01-Aug-2025	5.95048109138702
02-Aug-2025	7.02158915150685
03-Aug-2025	4.30303635591774
04-Aug-2025	2.33836988496715
05-Aug-2025	5.86366831238114
06-Aug-2025	4.0195404634166
07-Aug-2025	11.7173946204116
08-Aug-2025	7.4084478902676
09-Aug-2025	2.5022948538336
10-Aug-2025	2.51812860602445
11-Aug-2025	64.9186490456398
12-Aug-2025	9.99849977377255
13-Aug-2025	1.40668762739052
14-Aug-2025	24.7603711015452
15-Aug-2025	10.3283152875932
16-Aug-2025	8.15779609640768
17-Aug-2025	41.4876312246893
18-Aug-2025	19.2215038787261
19-Aug-2025	6.12943938722676
20-Aug-2025	4.83360823752772
21-Aug-2025	35.5127694163091
22-Aug-2025	50.0460153535661
23-Aug-2025	0.723129873183765
24-Aug-2025	1.95991684583992
25-Aug-2025	5.7758290827493
26-Aug-2025	25.2383035493579
27-Aug-2025	2.24917340586782
28-Aug-2025	4.71524392462147
29-Aug-2025	9.14129746552668
30-Aug-2025	41.1614112481131
31-Aug-2025	2.08427844726524
01-Sep-2025	1.5952487606735
02-Sep-2025	2.8327144133513
03-Sep-2025	18.7660387777042
04-Sep-2025	14.5905266422639
05-Sep-2025	12.9329189240028
06-Sep-2025	3.57591309488331
07-Sep-2025	2.05219944352848
08-Sep-2025	1.55863106343606
09-Sep-2025	12.4436719726453
10-Sep-2025	1.97734900231303
11-Sep-2025	5.17087275695723
12-Sep-2025	25.6592339265367
13-Sep-2025	2.73320783934983
14-Sep-2025	10.3817010375763
15-Sep-2025	1.12532701785172
16-Sep-2025	2.1416441257518
17-Sep-2025	7.25547841302972
18-Sep-2025	18.7420751256538
19-Sep-2025	10.7298260766962
20-Sep-2025	1.8340540027049
21-Sep-2025	11.2472240570406
22-Sep-2025	16.9538464946771
23-Sep-2025	17.5498026534847
24-Sep-2025	3.73912377302555
25-Sep-2025	5.12221678136073
26-Sep-2025	1.01543543124678
27-Sep-2025	3.62792537459783
28-Sep-2025	6.12807632498244
29-Sep-2025	8.52639302287933
30-Sep-2025	13.0817792167967
01-Oct-2025	4.02954956768943
02-Oct-2025	1.15959073495437
03-Oct-2025	2.2541313842628
04-Oct-2025	4.08654975967099
05-Oct-2025	4.75846907619677
06-Oct-2025	9.91689408672197
07-Oct-2025	10.8310075047921
08-Oct-2025	4.77353793968973
09-Oct-2025	24.6934062353346
10-Oct-2025	1.62518754795769
11-Oct-2025	29.1953051755812
12-Oct-2025	3.24272387740117
13-Oct-2025	2.33933337224347
14-Oct-2025	1.19138344507566
15-Oct-2025	2.36684478018484
16-Oct-2025	1.84139000481195
17-Oct-2025	5.27828132886159
